,chembl_id,standardized_smiles,wd_consensus_1,wd_chembl,wd_withdrawn,wd_drugbank,atc_code,name
2140,CHEMBL1909289,CCOC(Nc1ccc(C(=O)O)cc1)C(=O)c1ccc(-c2ccccc2)cc1,1,1.0,1.0,None,None,XENAZOIC ACID
2141,CHEMBL305187,CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1,0,0.0,None,1,C04AX28,IFENPRODIL
2142,CHEMBL2105735,C=CC1CC1(NC(=O)C1CC(Oc2ncc(OC)c3ccc(Cl)cc23)CN1C(=O)C(NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,0,None,None,1,J05AP06,ASUNAPREVIR
2143,CHEMBL2105345,CCCOC(=O)Cc1ccc(OCC(=O)N(CC)CC)c(OC)c1,1,1.0,1.0,None,N01AX04,PROPANIDID
2144,CHEMBL292707,CC(C)Cc1ccc(C(C)C(=O)NO)cc1,0,None,None,1,M01AE13,IBUPROXAM
2145,CHEMBL2303617,C1CCN2CC3CC(CN4CCCCC34)C2C1,1,0.0,1.0,experimental,None,SPARTEINE SULFATE
2146,CHEMBL1075,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2,0,0.0,None,1,C01BG01,MORICIZINE
2147,CHEMBL2146161,CC1=CC(O)CC(=O)Cc2nc(co2)C(=O)N2CCC=C2C(=O)OC(C(C)C)C(C)C=CC(=O)NCC=C1,0,0.0,None,experimental,J01FG01,MIKAMYCIN
2148,CHEMBL3301845,CC(CCc1ccc2c(c1)OCO2)NN,0,None,None,1,None,SAFRAZINE
2149,CHEMBL254832,CC(NCCC(c1ccccc1)c1ccccc1)c1ccccc1,0,None,None,1,C08EA01,FENDILINE
2150,CHEMBL2303613,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nc(C)c(CC(=O)O)s3)CSC12)c1csc(N)n1,0,0.0,None,None,J01DD09,CEFODIZIME
2151,CHEMBL1442422,CN(C)CCN1C(=O)c2ccccc2N(C)c2ccccc21,1,0.0,1.0,0,N06AA08,DIBENZEPIN
2152,CHEMBL288470,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,1,1.0,1.0,1,"N02BB03, N02BB73, N02BB53",AMINOPYRINE
2153,CHEMBL1497,CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,0,0.0,None,None,"A07EA04, C05AA05, D07AC01, D07XC01, H02AB01, R01AD06, R03BA04, S01BA06, S01CB04, S02BA07, S03BA03",BETAMETHASONE VALERATE
2154,CHEMBL2106941,CC(C)(C)C(=O)NNCc1ccccc1,0,None,None,1,None,PIVHYDRAZINE
2155,CHEMBL1197,CC(CNC1CCCCC1)OC(=O)c1ccccc1,0,0.0,None,1,None,HEXYLCAINE
2156,CHEMBL2104537,COc1cc(C(=O)OC(COCCC(C)C)CN2CCOCC2)cc(OC)c1OC,1,1.0,1.0,None,None,AMOPROXAN
2157,CHEMBL315838,COc1ccc(C(=O)Nc2ccccc2CCC2CCCCN2C)cc1,1,1.0,1.0,1,C01BC08,ENCAINIDE
2158,CHEMBL7728,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,1,None,1.0,experimental,"N01AF02, N05CA16",HEXOBARBITAL
2159,CHEMBL1479848,CC(=O)Oc1cc(C)c(OC(C)=O)c2ccccc12,0,0.0,None,None,None,ACETOMENAPHTHONE
2160,CHEMBL315795,Cc1ncsc1CCCl,0,0.0,None,None,"N05CM02, N05CX04",CLOMETHIAZOLE
2161,CHEMBL1625607,CN1CCc2c(c3ccccc3n2Cc2ccccc2)C1,0,0.0,None,None,R06AX15,MEBHYDROLIN
